renderType,location,pitch,repeats,quiesced_all,quiesce_ms,quiesce_ms_min,quiesce_ms_max,mean_fps,mean_fps_min,mean_fps_max,p50_ms,p50_ms_min,p50_ms_max,p95_ms,p95_ms_min,p95_ms_max,p99_ms,p99_ms_min,p99_ms_max,low1_fps,low1_fps_min,low1_fps_max,failed,error_msgs,device_lost_any
cubes,alps,down,3,True,17401.800000000745,15413,17543.900000000373,14.782482757931847,14.777264052176266,14.786078030394162,66.70000000000073,66.69999999999709,66.70000000000073,72.80000000000291,72.79999999999563,72.80000000000291,73.39999999999782,72.90000000000146,73.69999999999709,13.537906137184427,13.428827215756622,13.623978201634607,0,,False
cubes,alps,horizon,3,True,15947.599999999627,15622.600000000093,17062.699999999953,18.283910159060024,18.200364007280147,18.28930075905595,54.5,54.5,54.599999999998545,60.5,55.099999999998545,60.599999999998545,61.20000000000073,60.69999999999709,61.599999999998545,16.148566814694675,16.012810248198374,16.467682173733948,0,,False
cubes,alps,up,3,True,17230.899999999907,17038.39999999851,17444.60000000149,36.522461313707936,36.521364998524135,36.522461313707936,30.099999999998545,30.099999999998545,30.099999999998545,30.400000000001455,30.400000000001455,30.400000000001455,30.89999999999418,30.700000000000728,30.89999999999418,31.948881789137193,31.10419906687438,32.12851405622537,0,,False
cubes,ljubljana,down,3,True,14528.200000001118,13652.5,14590.599999999627,35.11874431755738,34.71944688673967,35.20792652779928,30.200000000000728,30.200000000000728,30.200000000004366,30.5,30.400000000001455,30.5,30.900000000001455,30.700000000004366,32.20000000000073,30.1075268817209,29.850746268656312,31.974420463628075,0,,False
cubes,ljubljana,horizon,3,True,13426.099999999627,13305.900000000023,14082.299999998882,37.37317136624707,37.36693026671395,37.378507358269,24.399999999997817,24.399999999997817,24.400000000001455,30.400000000001455,30.400000000001455,30.400000000001455,30.700000000000728,30.69999999999709,30.80000000000291,32.414910858995235,31.397174254314958,32.50711093051528,0,,False
cubes,ljubljana,up,3,True,14436.399999999907,13794.40000000014,15005.299999999814,37.5,37.47770076804302,37.512191462225225,24.400000000001455,24.30000000000291,24.400000000001455,30.400000000001455,30.400000000001455,30.400000000001455,30.799999999999272,30.600000000002183,30.89999999999418,31.446540880501615,30.80477474008463,32.051282051282236,0,,False
cubes,ne_plain,down,3,True,14080.100000000093,12617.699999999953,14638.099999999977,33.65084127103177,33.44063662174591,33.65151431814432,30.299999999999272,30.299999999999272,30.299999999999272,30.5,30.5,30.5,31.099999999998545,30.900000000001455,36.19999999999709,29.486099410278282,27.365129007036824,31.803725579281828,0,,False
cubes,ne_plain,horizon,3,True,13418.600000000093,12183,13808,35.111586823651805,35.111586823651805,35.11874431755737,30.200000000000728,30.200000000000728,30.200000000004366,30.5,30.5,30.5,31.200000000000728,31.19999999999709,32,29.509406123201533,29.01704751541638,30.33750474023545,0,,False
cubes,ne_plain,up,3,True,14016.600000000093,13459.800000000745,15054.599999999627,35.22201375859913,35.222013758599125,35.2221899796872,30.200000000000728,30.200000000000728,30.200000000004366,30.400000000001455,30.400000000001455,30.5,30.599999999998545,30.5,30.799999999999272,32.24506247480779,30.429821224800556,32.454361054765776,0,,False
greedy,alps,down,3,True,17803.599999999627,17426.599999999627,18622.199999999953,60.069222151088354,60.01489128859617,60.06952259484331,18.099999999998545,18.099999999998545,18.099999999998545,18.30000000000291,18.30000000000291,18.30000000000291,18.400000000001455,18.400000000001455,18.400000000001455,53.85252692625989,52.25080385852105,54.099042863085515,0,,False
