renderType,location,pitch,repeats,quiesced_all,quiesce_ms,quiesce_ms_min,quiesce_ms_max,mean_fps,mean_fps_min,mean_fps_max,p50_ms,p50_ms_min,p50_ms_max,p95_ms,p95_ms_min,p95_ms_max,p99_ms,p99_ms_min,p99_ms_max,low1_fps,low1_fps_min,low1_fps_max,failed,error_msgs,device_lost_any
cubes,alps,down,3,True,33734.5,31777.89999999944,45841.200000000186,14.805730864714501,14.797100366190868,14.84917410780798,67.20000000000437,67.19999999999709,67.30000000000291,69.60000000000582,69.19999999999709,70.20000000000437,86.20000000000437,82.89999999999418,123.79999999999563,8.29187396351552,7.539582809751166,9.807126511932424,0,,False
cubes,alps,horizon,3,True,32191.399999999907,31589.900000000373,33812.19999999972,18.36923153717523,18.335148529690954,18.383085568530554,54.400000000001455,54.299999999995634,54.5,56.5,56.400000000001455,57,69.79999999999563,69.59999999999854,70.29999999999563,11.75433441081439,11.38627953316268,12.539184952978056,0,,False
cubes,alps,up,3,True,23852.299999999814,22953.099999999627,27096.899999999907,36.81116422174606,36.80577721034153,36.8566933852723,27.099999999998545,27.099999999998545,27.099999999998545,28.80000000000291,28.700000000004366,29.099999999998545,33.5,33.30000000000291,34.30000000000291,25.06265664160481,23.661638568471478,25.789813023855213,0,,False
cubes,ljubljana,down,3,True,24896.799999999814,20129.89999999944,25806,35.59679628833405,35.449468257976136,35.5971382496992,28,28,28.099999999998545,29.799999999995634,29.69999999999709,30.39999999999418,44.80000000000291,44.200000000004366,45,20.120724346076162,18.45444059976963,20.882276168102404,0,,False
cubes,ljubljana,horizon,3,True,24641.900000000373,23058.900000000373,25374.300000000047,37.75299751808999,37.736414142170446,37.75802980792222,26.5,26.5,26.5,28.30000000000291,28.30000000000291,28.5,34.400000000001455,33.69999999999709,34.900000000001455,24.698981167027306,23.303233323623456,25.69043031470825,0,,False
cubes,ljubljana,up,3,True,19330.600000000093,18544.400000000373,20742.900000000373,37.87102866307275,37.870650246059306,37.87405627145405,26.400000000001455,26.400000000001455,26.5,28.400000000001455,28.19999999999709,28.599999999998545,34.60000000000582,34.19999999999709,35,23.92344497607645,23.303233323623456,24.744819053511005,0,,False
cubes,ne_plain,down,3,True,24722.40000000014,23516.899999999907,28494.400000000373,33.98525808335122,33.98029143097004,33.98691503771049,29.400000000001455,29.400000000001455,29.5,31,30.700000000004366,31.099999999998545,33,32.69999999999709,44.599999999998545,22.357074417119236,21.551724137930357,24.07152682255882,0,,False
cubes,ne_plain,horizon,3,True,24502.39999999944,24447.600000000093,25012.199999999953,35.437773967981045,35.42732651103293,35.44291141771646,28.10000000000582,28.099999999998545,28.10000000000582,29.69999999999709,29.60000000000582,29.799999999995634,31.400000000001455,31,32.099999999998545,27.434842249655834,26.84563758389393,28.328611898016852,0,,False
cubes,ne_plain,up,3,True,25487.40000000014,25234.900000000373,26671.299999999814,35.528327720090736,35.52158273381295,35.52974804361515,28,28,28.099999999998545,29.69999999999709,29.5,29.700000000004366,34.200000000004366,31.299999999995638,34.799999999995634,25.12562814070283,23.522493384298333,27.491408934707902,0,,False
greedy,alps,down,3,True,27354.399999999907,24721.599999999627,28570.39999999851,61.203485351133146,61.194492495675384,61.20898997671559,16.299999999995634,16.299999999995634,16.299999999995634,17.400000000001455,17.30000000000291,17.5,33.599999999998545,33.5,33.900000000001455,29.325513196479303,29.076269290985977,29.511918274687368,0,,False
greedy,alps,horizon,3,True,27450.200000001118,25985.700000000186,28454.599999999627,61.29632222066677,61.29177281582496,61.29728433547148,16.200000000004366,16.200000000004366,16.200000000004366,17.5,17.30000000000291,18.400000000001455,33.80000000000291,33.5,33.900000000001455,29.27927927927928,29.13491707754294,29.385171790234985,0,,False
greedy,alps,up,3,True,25496.60000000149,23403.300000000745,26333.399999999907,61.432184666446744,61.37941367427459,61.43586974995751,16.19999999999709,16.19999999999709,16.19999999999709,17.19999999999709,17.099999999998545,17.30000000000291,33.69999999999709,33.599999999998545,33.80000000000291,29.318899413622397,29.213483146066938,29.425079221366698,0,,False
greedy,ljubljana,down,3,True,20639,19415.599999999627,22798,84.79700187382888,84.7826195629896,84.81946499260268,11.700000000004366,11.700000000004366,11.700000000004366,13.5,13.299999999995634,13.700000000004366,17.400000000001455,17.30000000000291,26.69999999999709,42.36232245203097,34.440842787683195,42.9076224129219,0,,False
greedy,ljubljana,horizon,3,True,19185.800000000745,16990.099999999627,20559.5,84.99037042595232,84.97861796091281,85.00988951711184,11.700000000000728,11.69999999999709,11.700000000000728,13.30000000000291,13.299999999995634,13.5,16.700000000000728,16.5,17.099999999998545,44.831880448319616,43.10344827586222,45.04504504504444,0,,False
greedy,ljubljana,up,3,True,22003.900000000373,18054.19999999972,22578.5,85.12233524104664,85.11467740887531,85.13084555974906,11.69999999999709,11.69999999999709,11.69999999999709,13.099999999998545,13.099999999998545,13.400000000001455,17.299999999995634,17,17.400000000001455,41.312829928852125,38.4944396920446,47.21930745015821,0,,False
greedy,ne_plain,down,3,True,16318.5,15096.899999999907,16701.900000000373,145.7223127605755,145.72231276057548,145.7368836804688,6.799999999999272,6.799999999999272,6.799999999999272,8.80000000000291,8.799999999995634,8.80000000000291,15.100000000002183,14.400000000001455,15.299999999999272,54.446460980033784,51.55525004296226,56.98005698005462,0,,False
greedy,ne_plain,horizon,3,True,15909.5,15415.300000000745,16913.799999999814,146.17076584683065,146.12214312476584,146.2349254581711,6.799999999999272,6.799999999999272,6.799999999999272,8.799999999995634,8.700000000004366,9.10000000000582,15,14.700000000000728,17.400000000001455,57.92624058698452,43.0045871559625,58.708414872798016,0,,False
greedy,ne_plain,up,3,True,18363.5,16010.5,18392.799999999814,146.53350586283904,146.30903347062824,146.60119978222104,6.799999999995634,6.700000000004366,6.799999999999272,9,8.799999999999272,9,15.5,14.799999999999272,16.099999999998545,53.069166814080404,50.89921954530018,55.67928730512144,0,,False
hybrid,alps,down,3,True,22488.099999999627,20346.800000000745,23222.200000000186,348.2485118973246,346.01643890374,365.5155532687591,2.099999999998545,2,2.099999999998545,6.899999999994179,6.5,6.900000000001455,15.700000000004367,13.60000000000582,17.19999999999709,49.97858060831,49.8433494730848,51.78808873958945,0,,False
hybrid,alps,horizon,3,True,24369.599999999977,21455.900000000373,27950.799999999814,134.2771728806103,126.0058979357225,147.4461821435176,7.400000000001455,6.700000000004366,7.900000000001454,8.700000000004366,7.80000000000291,9.299999999995634,15.19999999999709,13.900000000001455,15.5,56.399132321041215,54.07570598838421,62.60434056761592,0,,False
hybrid,alps,up,3,True,19089.400000000373,17390.60000000056,20790.600000000093,431.4864142249586,429.4055307832277,440.7779611019448,1.6999999999970896,1.6000000000021828,1.6999999999970896,5.400000000001455,5.299999999999272,5.5,15.5,14.599999999998545,15.5,57.459877154745726,57.23031875956664,57.84103463963069,0,,False
hybrid,ljubljana,down,3,True,22064.10000000056,17185,22272.099999999627,422.6464516193533,395.9390862944162,434.3870593645652,1.7999999999956344,1.7000000000043656,1.9000000000014552,5.80000000000291,5.299999999995634,5.80000000000291,14.700000000004366,14.400000000001455,14.89999999999418,53.54330708661319,52.808766255197426,57.43332453129087,0,,False
hybrid,ljubljana,horizon,3,True,17669.099999999627,15522.299999999814,21050.5,390.18907510552737,375.013125459391,401.73355568648196,1.9000000000014552,1.8000000000029104,1.9000000000014552,6,5.700000000004366,6.30000000000291,15.299999999995634,15.19999999999709,15.599999999998545,51.495991134868376,50.31193399074233,52.64184051471932,0,,False
hybrid,ljubljana,up,3,True,19344.200000000186,16921.699999999255,23811.300000000047,410.73775858535873,410.2523091686992,425.9212045771532,1.8000000000029104,1.7000000000043656,1.8000000000029104,5.599999999998545,5.599999999998545,5.700000000000728,14.799999999995634,12.900000000001455,16.19999999999709,54.483392411710334,54.177545691907035,56.22752533507615,0,,False
hybrid,ne_plain,down,3,True,15888.400000000373,15856.599999999627,18246.799999999814,348.27834289254383,331.1192079128744,376.659601695593,2.099999999998545,1.9000000000014552,2.2000000000007276,6.900000000001455,6.30000000000291,7,18.599999999998545,16.700000000004366,19,48.90658841612473,48.3754512635374,51.57787580590456,0,,False
hybrid,ne_plain,horizon,3,True,16631.300000000745,16293.199999999255,19618,376.91896242307905,329.29254569621133,382.1273957947991,1.9000000000014552,1.9000000000014552,2.2000000000043656,6.200000000000728,6.099999999998545,7.19999999999709,16.299999999995634,15.900000000001455,17.69999999999709,51.3340087808178,49.490101979605754,51.698670605612946,0,,False
hybrid,ne_plain,up,3,True,15516.399999999441,15431.299999999814,15698.099999999627,399.13015222336094,395.81001119462655,404.33678570000404,1.7999999999992724,1.7999999999992724,1.8000000000029104,5.69999999999709,5.599999999998545,5.80000000000291,15.89999999999418,15.800000000002909,15.900000000001455,54.4773578481445,54.002970163357205,54.94878230784864,0,,False
mesh,alps,down,3,True,27672.900000000373,27122.19999999972,27955.5,206.9599724120008,203.36661968592873,207.66262072826893,4.700000000004366,4.700000000004366,4.80000000000291,7.69999999999709,7.599999999998545,7.69999999999709,13.5,13,15.19999999999709,50.96468875136477,48.627995831887056,52.26258763543804,0,,False
mesh,alps,horizon,3,True,26400.899999999907,25830.5,28330,185.0352376668166,180.14865763257475,187.42001279795235,5.299999999995634,5.299999999995634,5.400000000001455,8,7.900000000001454,8,15.19999999999709,14.599999999998545,15.700000000004367,50.02632964718283,49.86522911051066,52.069060016442656,0,,False
