run_id,experiment,mean_fps,started_at
E1-3a52c952-r2,E1,401.73355568648196,2026-08-19T01:40:31
E1-3a52c952-r0,E1,375.013125459391,2026-08-19T02:25:01
E1-3a52c952-r1,E1,390.18907510552737,2026-08-19T03:31:43
E4-3a52c952-r0,E4,398.32253678822775,2026-08-21T02:54:39
E4-3a52c952-r1,E4,380.4220134872351,2026-08-21T03:03:59
E2-3a52c952-r0,E2,394.54741767140547,2026-08-21T03:34:43
E5-3a52c952-r0,E5,385.6113093988383,2026-08-21T04:51:16
E4-3a52c952-r2,E4,390.1875699888017,2026-08-21T04:52:04
E3-3a52c952-r0,E3,416.66458401019673,2026-08-23T06:24:27
