renderType,mean_fps,low1_fps,p99_ms,gpu_MB,js_heap_MB,draw_calls,instances_drawn,quiesce_s,gpu_p50_ms,js_p50_ms,n
mesh,209.54732181231202,49.651259014068195,11.599999999998545,1600.515072,104.314857,544,46255616,25.05090000000037,4.58752,0,3
cubes,37.75299751808999,24.698981167027306,34.400000000001455,53.494784,247.393453,544,8912896,24.641900000000373,26.345472,0,3
planes,26.04283821948964,15.420200462606072,52.80000000000291,53.494784,253.97013,544,44564480,24.985299999999814,38.01088,0,3
greedy,84.99037042595232,44.831880448319616,16.700000000000728,162.515512,268.057334,544,13627591,19.185800000000746,11.665408,0,3
raycast,380.49613859111025,50.89058524172982,13.200000000004366,53.494784,228.484263,544,544,22.0675,0.98304,0,3
hybrid,390.18907510552737,51.495991134868376,15.299999999995634,162.515512,240.777912,544,204942,17.669099999999627,1.048576,0,3
