lodMin,lodMax,repeats,quiesced_all,quiesce_ms,quiesce_ms_min,quiesce_ms_max,mean_fps,mean_fps_min,mean_fps_max,p50_ms,p50_ms_min,p50_ms_max,p95_ms,p95_ms_min,p95_ms_max,p99_ms,p99_ms_min,p99_ms_max,low1_fps,low1_fps_min,low1_fps_max,failed,error_msgs,device_lost_any,chunksResident,chunksResident_min,chunksResident_max,gpuBytes,gpuBytes_min,gpuBytes_max
0,1,1,True,6071.600000000559,6071.600000000559,6071.600000000559,1591.3453847384421,1591.3453847384421,1591.3453847384421,0.4000000000014552,0.4000000000014552,0.4000000000014552,1.7999999999992724,1.7999999999992724,1.7999999999992724,2.6999999999970896,2.6999999999970896,2.6999999999970896,225.36206287530965,225.36206287530965,225.36206287530965,0,,False,64,64,64,11389704,11389704,11389704
0,2,1,True,7730,7730,7730,1046.7168245557027,1046.7168245557027,1046.7168245557027,0.7000000000007276,0.7000000000007276,0.7000000000007276,3.399999999997817,3.399999999997817,3.399999999997817,4.400000000001455,4.400000000001455,4.400000000001455,163.60236833904986,163.60236833904986,163.60236833904986,0,,False,115,115,115,27688176,27688176,27688176
0,3,1,True,9135.799999999814,9135.799999999814,9135.799999999814,810.8324252996512,810.8324252996512,810.8324252996512,1,1,1,2.7000000000043656,2.7000000000043656,2.7000000000043656,5.80000000000291,5.80000000000291,5.80000000000291,114.23365337444595,114.23365337444595,114.23365337444595,0,,False,184,184,184,52493440,52493440,52493440
0,4,1,True,11048.899999999441,11048.899999999441,11048.899999999441,747.185056298874,747.185056298874,747.185056298874,1,1,1,3.1999999999970896,3.1999999999970896,3.1999999999970896,6.5,6.5,6.5,99.32459276916792,99.32459276916792,99.32459276916792,0,,False,247,247,247,75307120,75307120,75307120
0,5,1,True,13107.5,13107.5,13107.5,632.7386516438308,632.7386516438308,632.7386516438308,1.1000000000021828,1.1000000000021828,1.1000000000021828,3.900000000001455,3.900000000001455,3.900000000001455,7.299999999999272,7.299999999999272,7.299999999999272,80.11101999621489,80.11101999621489,80.11101999621489,0,,False,304,304,304,94839408,94839408,94839408
0,6,1,True,12136,12136,12136,606.9800455872356,606.9800455872356,606.9800455872356,1.2000000000007276,1.2000000000007276,1.2000000000007276,3.900000000001455,3.900000000001455,3.900000000001455,7.599999999998545,7.599999999998545,7.599999999998545,71.03347889374045,71.03347889374045,71.03347889374045,0,,False,361,361,361,113555784,113555784,113555784
0,7,1,True,11766.600000000093,11766.600000000093,11766.600000000093,522.611507950393,522.611507950393,522.611507950393,1.4000000000014552,1.4000000000014552,1.4000000000014552,4.599999999998545,4.599999999998545,4.599999999998545,8.099999999998545,8.099999999998545,8.099999999998545,63.16929370713606,63.16929370713606,63.16929370713606,0,,False,424,424,424,134073184,134073184,134073184
0,8,1,True,18267.39999999944,18267.39999999944,18267.39999999944,471.8410198725159,471.8410198725159,471.8410198725159,1.5,1.5,1.5,4.900000000001455,4.900000000001455,4.900000000001455,8.700000000000728,8.700000000000728,8.700000000000728,57.891529555149944,57.891529555149944,57.891529555149944,0,,False,484,484,484,150011376,150011376,150011376
0,9,1,True,19323.5,19323.5,19323.5,416.66458401019673,416.66458401019673,416.66458401019673,1.7000000000043656,1.7000000000043656,1.7000000000043656,5.5,5.5,5.5,13,13,13,53.67755128123123,53.67755128123123,53.67755128123123,0,,False,544,544,544,162515512,162515512,162515512
2,9,1,True,22157.5,22157.5,22157.5,315.64425917317703,315.64425917317703,315.64425917317703,2.400000000001455,2.400000000001455,2.400000000001455,7.19999999999709,7.19999999999709,7.19999999999709,19.099999999998545,19.099999999998545,19.099999999998545,48.95960832313325,48.95960832313325,48.95960832313325,0,,False,685,685,685,179826176,179826176,179826176
